Title,Abstract,PDF Link
Unmixing Diffusion for Self-Supervised Hyperspectral Image Denoising,"Haijin Zeng,



Jiezhang Cao,



Kai Zhang,



Yongyong Chen,



Hiep Luong,



Wilfried Philips",/content/CVPR2024/html/Zeng_Unmixing_Diffusion_for_Self-Supervised_Hyperspectral_Image_Denoising_CVPR_2024_paper.html
Seeing the World through Your Eyes,"Hadi Alzayer,



Kevin Zhang,



Brandon Feng,



Christopher A. Metzler,



Jia-Bin Huang",/content/CVPR2024/html/Alzayer_Seeing_the_World_through_Your_Eyes_CVPR_2024_paper.html
DPMesh: Exploiting Diffusion Prior for Occluded Human Mesh Recovery,"Yixuan Zhu,



Ao Li,



Yansong Tang,



Wenliang Zhao,



Jie Zhou,



Jiwen Lu",/content/CVPR2024/html/Zhu_DPMesh_Exploiting_Diffusion_Prior_for_Occluded_Human_Mesh_Recovery_CVPR_2024_paper.html
Ungeneralizable Examples,"Jingwen Ye,



Xinchao Wang",/content/CVPR2024/html/Ye_Ungeneralizable_Examples_CVPR_2024_paper.html
LaneCPP: Continuous 3D Lane Detection using Physical Priors,"Maximilian Pittner,



Joel Janai,



Alexandru P. Condurache",/content/CVPR2024/html/Pittner_LaneCPP_Continuous_3D_Lane_Detection_using_Physical_Priors_CVPR_2024_paper.html
CityDreamer: Compositional Generative Model of Unbounded 3D Cities,"Haozhe Xie,



Zhaoxi Chen,



Fangzhou Hong,



Ziwei Liu",/content/CVPR2024/html/Xie_CityDreamer_Compositional_Generative_Model_of_Unbounded_3D_Cities_CVPR_2024_paper.html
HEAL-SWIN: A Vision Transformer On The Sphere,"Oscar Carlsson,



Jan E. Gerken,



Hampus Linander,



Heiner Spieß,



Fredrik Ohlsson,



Christoffer Petersson,



Daniel Persson",/content/CVPR2024/html/Carlsson_HEAL-SWIN_A_Vision_Transformer_On_The_Sphere_CVPR_2024_paper.html
3D Paintbrush: Local Stylization of 3D Shapes with Cascaded Score Distillation,"Dale Decatur,



Itai Lang,



Kfir Aberman,



Rana Hanocka",/content/CVPR2024/html/Decatur_3D_Paintbrush_Local_Stylization_of_3D_Shapes_with_Cascaded_Score_CVPR_2024_paper.html
Test-Time Linear Out-of-Distribution Detection,"Ke Fan,



Tong Liu,



Xingyu Qiu,



Yikai Wang,



Lian Huai,



Zeyu Shangguan,



Shuang Gou,



Fengjian Liu,



Yuqian Fu,



Yanwei Fu,



Xingqun Jiang",/content/CVPR2024/html/Fan_Test-Time_Linear_Out-of-Distribution_Detection_CVPR_2024_paper.html
Guided Slot Attention for Unsupervised Video Object Segmentation,"Minhyeok Lee,



Suhwan Cho,



Dogyoon Lee,



Chaewon Park,



Jungho Lee,



Sangyoun Lee",/content/CVPR2024/html/Lee_Guided_Slot_Attention_for_Unsupervised_Video_Object_Segmentation_CVPR_2024_paper.html
Unsupervised Blind Image Deblurring Based on Self-Enhancement,"Lufei Chen,



Xiangpeng Tian,



Shuhua Xiong,



Yinjie Lei,



Chao Ren",/content/CVPR2024/html/Chen_Unsupervised_Blind_Image_Deblurring_Based_on_Self-Enhancement_CVPR_2024_paper.html
Action Detection via an Image Diffusion Process,"Lin Geng Foo,



Tianjiao Li,



Hossein Rahmani,



Jun Liu",/content/CVPR2024/html/Foo_Action_Detection_via_an_Image_Diffusion_Process_CVPR_2024_paper.html
Programmable Motion Generation for Open-Set Motion Control Tasks,"Hanchao Liu,



Xiaohang Zhan,



Shaoli Huang,



Tai-Jiang Mu,



Ying Shan",/content/CVPR2024/html/Liu_Programmable_Motion_Generation_for_Open-Set_Motion_Control_Tasks_CVPR_2024_paper.html
SCE-MAE: Selective Correspondence Enhancement with Masked Autoencoder for Self-Supervised Landmark Estimation,"Kejia Yin,



Varshanth Rao,



Ruowei Jiang,



Xudong Liu,



Parham Aarabi,



David B. Lindell",/content/CVPR2024/html/Yin_SCE-MAE_Selective_Correspondence_Enhancement_with_Masked_Autoencoder_for_Self-Supervised_Landmark_CVPR_2024_paper.html
LAKE-RED: Camouflaged Images Generation by Latent Background Knowledge Retrieval-Augmented Diffusion,"Pancheng Zhao,



Peng Xu,



Pengda Qin,



Deng-Ping Fan,



Zhicheng Zhang,



Guoli Jia,



Bowen Zhou,



Jufeng Yang",/content/CVPR2024/html/Zhao_LAKE-RED_Camouflaged_Images_Generation_by_Latent_Background_Knowledge_Retrieval-Augmented_Diffusion_CVPR_2024_paper.html
TIGER: Time-Varying Denoising Model for 3D Point Cloud Generation with Diffusion Process,"Zhiyuan Ren,



Minchul Kim,



Feng Liu,



Xiaoming Liu",/content/CVPR2024/html/Ren_TIGER_Time-Varying_Denoising_Model_for_3D_Point_Cloud_Generation_with_CVPR_2024_paper.html
ConTex-Human: Free-View Rendering of Human from a Single Image with Texture-Consistent Synthesis,"Xiangjun Gao,



Xiaoyu Li,



Chaopeng Zhang,



Qi Zhang,



Yanpei Cao,



Ying Shan,



Long Quan",/content/CVPR2024/html/Gao_ConTex-Human_Free-View_Rendering_of_Human_from_a_Single_Image_with_CVPR_2024_paper.html
UFineBench: Towards Text-based Person Retrieval with Ultra-fine Granularity,"Jialong Zuo,



Hanyu Zhou,



Ying Nie,



Feng Zhang,



Tianyu Guo,



Nong Sang,



Yunhe Wang,



Changxin Gao",/content/CVPR2024/html/Zuo_UFineBench_Towards_Text-based_Person_Retrieval_with_Ultra-fine_Granularity_CVPR_2024_paper.html
Efficient Hyperparameter Optimization with Adaptive Fidelity Identification,"Jiantong Jiang,



Zeyi Wen,



Atif Mansoor,



Ajmal Mian",/content/CVPR2024/html/Jiang_Efficient_Hyperparameter_Optimization_with_Adaptive_Fidelity_Identification_CVPR_2024_paper.html
