Title,Abstract,PDF Link
Unmixing Diffusion for Self-Supervised Hyperspectral Image Denoising,"Haijin Zeng,



Jiezhang Cao,



Kai Zhang,



Yongyong Chen,



Hiep Luong,



Wilfried Philips",https://openaccess.thecvf.com/content/CVPR2024/html/Zeng_Unmixing_Diffusion_for_Self-Supervised_Hyperspectral_Image_Denoising_CVPR_2024_paper.html
Seeing the World through Your Eyes,"Hadi Alzayer,



Kevin Zhang,



Brandon Feng,



Christopher A. Metzler,



Jia-Bin Huang",https://openaccess.thecvf.com/content/CVPR2024/html/Alzayer_Seeing_the_World_through_Your_Eyes_CVPR_2024_paper.html
DPMesh: Exploiting Diffusion Prior for Occluded Human Mesh Recovery,"Yixuan Zhu,



Ao Li,



Yansong Tang,



Wenliang Zhao,



Jie Zhou,



Jiwen Lu",https://openaccess.thecvf.com/content/CVPR2024/html/Zhu_DPMesh_Exploiting_Diffusion_Prior_for_Occluded_Human_Mesh_Recovery_CVPR_2024_paper.html
Ungeneralizable Examples,"Jingwen Ye,



Xinchao Wang",https://openaccess.thecvf.com/content/CVPR2024/html/Ye_Ungeneralizable_Examples_CVPR_2024_paper.html
LaneCPP: Continuous 3D Lane Detection using Physical Priors,"Maximilian Pittner,



Joel Janai,



Alexandru P. Condurache",https://openaccess.thecvf.com/content/CVPR2024/html/Pittner_LaneCPP_Continuous_3D_Lane_Detection_using_Physical_Priors_CVPR_2024_paper.html
CityDreamer: Compositional Generative Model of Unbounded 3D Cities,"Haozhe Xie,



Zhaoxi Chen,



Fangzhou Hong,



Ziwei Liu",https://openaccess.thecvf.com/content/CVPR2024/html/Xie_CityDreamer_Compositional_Generative_Model_of_Unbounded_3D_Cities_CVPR_2024_paper.html
HEAL-SWIN: A Vision Transformer On The Sphere,"Oscar Carlsson,



Jan E. Gerken,



Hampus Linander,



Heiner Spieß,



Fredrik Ohlsson,



Christoffer Petersson,



Daniel Persson",https://openaccess.thecvf.com/content/CVPR2024/html/Carlsson_HEAL-SWIN_A_Vision_Transformer_On_The_Sphere_CVPR_2024_paper.html
3D Paintbrush: Local Stylization of 3D Shapes with Cascaded Score Distillation,"Dale Decatur,



Itai Lang,



Kfir Aberman,



Rana Hanocka",https://openaccess.thecvf.com/content/CVPR2024/html/Decatur_3D_Paintbrush_Local_Stylization_of_3D_Shapes_with_Cascaded_Score_CVPR_2024_paper.html
Test-Time Linear Out-of-Distribution Detection,"Ke Fan,



Tong Liu,



Xingyu Qiu,



Yikai Wang,



Lian Huai,



Zeyu Shangguan,



Shuang Gou,



Fengjian Liu,



Yuqian Fu,



Yanwei Fu,



Xingqun Jiang",https://openaccess.thecvf.com/content/CVPR2024/html/Fan_Test-Time_Linear_Out-of-Distribution_Detection_CVPR_2024_paper.html
Guided Slot Attention for Unsupervised Video Object Segmentation,"Minhyeok Lee,



Suhwan Cho,



Dogyoon Lee,



Chaewon Park,



Jungho Lee,



Sangyoun Lee",https://openaccess.thecvf.com/content/CVPR2024/html/Lee_Guided_Slot_Attention_for_Unsupervised_Video_Object_Segmentation_CVPR_2024_paper.html
